Number,Title,Vehicle_class,Manufacturer,Features,Acquisition,Price,Storage_location,Delivery_method,Modifications,Resale_flag,Resale_price,Race_availability,Top_speed_in_game,Based_on,Seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
84, Western Zombie Chopper,Motorcycles,Western,"Has Liveries, Has Variants",Southern S.A. Super Autos,"$122,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$73,200	
	($256,830 when fully upgraded)",Can be used in Races,85.13 mph (137.00 km/h),"Harley Davidson Fat Bob Custom, Iron 883",2,"225	KG",RWD,5,4-Oct-16,1.36 Bikers,113.75 mph (183.06 km/h),01:08.2,No,1,1,2,1,1,"Speed
73.51","Acceleration
72.50","Braking
26.67","Handling
56.82","Overall
57.37",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-zombie-chopper
85, Dundreary Regina,Sedans,Dundreary,NA,Can be stolen / found,"$8,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$4,800	
	($70,900 when fully upgraded)",Can be used in Races,74.56 mph (120.00 km/h),Chevy Caprice wagon,4,"1,900	KG",RWD,4,17-Sep-13,1.01 Game Launch,86.25 mph (138.81 km/h),01:32.6,No,1,1,2,1,1,"Speed
64.39","Acceleration
35.00","Braking
20.00","Handling
57.58","Overall
44.24",https://www.gtabase.com//grand-theft-auto-v/vehicles/dundreary-regina
86, Pegassi FCR 1000 Custom,Motorcycles,Pegassi,"Custom Vehicle, Has Liveries",Benny's Original Motor Works,"$196,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$117,600	
	($236,299 when fully upgraded)",Can be used in Races,87.12 mph (140.20 km/h),Modified FCR 1000,1,"200	KG",RWD,6,2-Jan-17,1.37 Import/Export,112.50 mph (181.05 km/h),01:02.4,No,1,1,2,1,1,"Speed
75.22","Acceleration
77.50","Braking
41.67","Handling
65.15","Overall
64.89",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-fcr-1000-custom
87, Coil Voltic,Super,Coil,"Electric Vehicle, Has Variants, Mystery Prize, Removable Roof",Legendary Motorsport,"$150,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$90,000	
	($191,375 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),"Tesla Roadster, Lotus Elise",2,"1,030	KG",RWD,1,17-Sep-13,1.01 Game Launch,106.00 mph (170.59 km/h),01:05.8,No,1,1,2,1,1,"Speed
77.80","Acceleration
90.00","Braking
33.33","Handling
76.67","Overall
69.45",https://www.gtabase.com//grand-theft-auto-v/vehicles/coil-voltic
88, Declasse Tornado,Sports Classics,Declasse,"Gang Vehicle, Has Variants, Mystery Prize",Can be stolen / found,"$30,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$18,000	
	($85,425 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Chevrolet Bel Air,2,"2,100	KG",RWD,4,17-Sep-13,1.01 Game Launch,98.25 mph (158.12 km/h),01:26.4,No,1,1,2,1,1,"Speed
69.75","Acceleration
40.00","Braking
8.33","Handling
54.55","Overall
43.16",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tornado
89, Vapid Blade,Muscle,Vapid,Mystery Prize,Southern S.A. Super Autos,"$160,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$96,000	
	($241,150 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Ford Falcon,2,"1,200	KG",RWD,5,17-Jun-14,1.14 I'm Not a Hipster,109.75 mph (176.63 km/h),01:09.3,No,1,1,2,1,1,"Speed
77.80","Acceleration
81.00","Braking
26.67","Handling
67.58","Overall
63.26",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-blade
90, Buckingham Luxor,Planes,Buckingham,"Armored Vehicle, Bulletproof - Rear, Has Variants",Elitás Travel,"$1,625,000 ",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Can be used in Races,202.69 mph (326.20 km/h),Learjet 45,10,"6,400	KG",NA,NA,17-Sep-13,1.01 Game Launch,159.00 mph (255.89 km/h),00:48.3,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
82.00","Acceleration
36.00","Braking
34.00","Handling
23.00","Overall
43.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-luxor
91, Vapid Stanier,Sedans,Vapid,Has Variants,Can be stolen / found,"$10,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$6,000	
	($69,900 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),Ford Crown Victoria,4,"1,800	KG",RWD,5,17-Sep-13,1.01 Game Launch,108.00 mph (173.81 km/h),01:13.7,No,1,1,2,1,1,"Speed
75.12","Acceleration
50.00","Braking
30.00","Handling
74.24","Overall
57.34",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-stanier
92, Nagasaki Outlaw,Off-Road,Nagasaki,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$1,268,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$760,800	
	($903,525 when fully upgraded)",Can be used in Races,72.70 mph (117.00 km/h),Can-Am Maverick X3 Turbo,2,"850	KG",NA,3,23-Jan-20,1.49 Diamond Casino Heist,90.50 mph (145.65 km/h),01:10.4,No,1,1,2,1,1,"Speed
62.78","Acceleration
100.00","Braking
20.00","Handling
61.36","Overall
61.04",https://www.gtabase.com//grand-theft-auto-v/vehicles/outlaw
93, Faggio,Motorcycles,Pegassi,"Has Variants, Mystery Prize",Can be stolen / found,"$5,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$3,000	
	($57,900 when fully upgraded)",Can be used in Races,55.92 mph (90.00 km/h),Piaggio Vespa,2,"100	KG",RWD,3,17-Sep-13,1.01 Game Launch,103.25 mph (166.16 km/h),01:30.1,No,1,1,2,1,1,"Speed
48.29","Acceleration
25.00","Braking
13.33","Handling
48.48","Overall
33.78",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-faggio
94, Vapid Minivan Custom,Vans,Vapid,"Custom Vehicle, Has Liveries, Hydraulics",Benny's Original Motor Works,"$330,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$198,000	
	($521,638 when fully upgraded)",Can be used in Races,77.67 mph (125.00 km/h),"Ford Windstar, Dodge Caravan",4,"2,200	KG",NA,4,12-Apr-16,1.33 Lowriders: Custom Classics,95.50 mph (153.69 km/h),01:21.3,No,1,1,2,1,1,"Speed
67.07","Acceleration
37.50","Braking
15.00","Handling
58.33","Overall
44.48",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-minivan-custom
95, Declasse Impaler (Arena),Muscle,Declasse,"Arena Contender, Armored Vehicle, Custom Vehicle, Has Liveries, Has Variants, Jump Ability, No Passive Mode, Proximity Mines, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Arena War,"$1,209,500 ",Garage (Personal Vehicle),Mechanic,Arena Workshop,Can be sold only if purchased (High-End),"$725,700	
	($1,987,950 when fully upgraded)",Arena War Races,96.31 mph (155.00 km/h),Pachenko's Buick from the movie Death Race,2,"1,400	KG",RWD,5,11-Dec-18,1.46 Arena War,130.00 mph (209.21 km/h),01:06.7,Window plates available at Arena's workshop,4,1,3,1,1,"Speed
83.17","Acceleration
95.00","Braking
23.33","Handling
72.73","Overall
68.56",https://www.gtabase.com//grand-theft-auto-v/vehicles/impaler-arena
96,  Scorcher,Cycles,NA,Mystery Prize,Can be stolen / found,"$2,000 ",Garage (Personal Vehicle),Mechanic,Cannot be modified,Cannot be sold,NA,Can be used in Races,34.18 mph (55.00 km/h),"Saracen Zen, Rockshox Domain 180mm",1,"115	KG",RWD,NA,17-Sep-13,1.01 Game Launch,38.25 mph (61.56 km/h),02:32.6,No,1,1,2,1,1,"Speed
29.51","Acceleration
21.25","Braking
46.67","Handling
31.06","Overall
32.12",https://www.gtabase.com//grand-theft-auto-v/vehicles/scorcher
97, Albany V-STR,Sports,Albany,Has Liveries,Legendary Motorsport,"$1,285,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$771,000	
	($959,738 when fully upgraded)",Can be used in Races,98.95 mph (159.25 km/h),2019 Cadillac CTS-V,4,"1,878	KG",RWD,8,30-Jan-20,1.49 Diamond Casino Heist,126.25 mph (203.18 km/h),01:04.2,No,1,1,2,1,1,"Speed
85.45","Acceleration
94.75","Braking
20.83","Handling
78.18","Overall
69.80",https://www.gtabase.com//grand-theft-auto-v/vehicles/v-str
98, Western Company Cuban 800,Planes,Western Company,"Armored Vehicle, Bombs Mod, Bulletproof - Rear, Mystery Prize",Elitás Travel,"$240,000 ",Pegasus Vehicle,Pegasus Concierge,Hangar Aircraft Workshop,Cannot be sold,NA,Can be used in Races,171.81 mph (276.50 km/h),Cessna 310,2,"5,000	KG",RWD,NA,17-Sep-13,1.01 Game Launch,142.00 mph (228.53 km/h),00:49.8,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
70.00","Acceleration
27.00","Braking
21.00","Handling
35.00","Overall
38.25",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-company-cuban-800
99, JoBuilt P-996 LAZER,Planes,JoBuilt,"Armored Vehicle, Bulletproof - Rear, Fighter Jet, Homing Missiles, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$6,500,000 ",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Can be used in Races,204.18 mph (328.60 km/h),F-16 Fighting Falcon,1,"8,000	KG",NA,NA,17-Sep-13,1.01 Game Launch,195.00 mph (313.82 km/h),00:37.6,Bulletproof from the rear (rear has no windows),2,1,2,1,1,"Speed
83.50","Acceleration
93.00","Braking
86.67","Handling
75.00","Overall
84.54",https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-p-996-lazer
100, Coil Raiden,Sports,Coil,Electric Vehicle,Legendary Motorsport,"$1,375,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$825,000	
	($931,800 when fully upgraded)",Can be used in Races,97.09 mph (156.25 km/h),Tesla Model S,4,"2,100	KG",NA,1,12-Dec-17,1.42 The Doomsday Heist,113.25 mph (182.26 km/h),01:04.5,No,1,1,2,1,1,"Speed
83.84","Acceleration
100.00","Braking
43.33","Handling
65.15","Overall
73.08",https://www.gtabase.com//grand-theft-auto-v/vehicles/coil-raiden
101, Lampadati Felon,Coupes,Lampadati,"Has Variants, Mystery Prize",Can be stolen / found,"$90,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$54,000	
	($121,990 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),"Jaguar XF, Maserati Quattroporte",4,"1,800	KG",RWD,6,17-Sep-13,1.01 Game Launch,113.75 mph (183.06 km/h),01:08.1,No,1,1,2,1,1,"Speed
77.80","Acceleration
60.00","Braking
30.00","Handling
77.27","Overall
61.27",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-felon
102, Declasse Impaler,Muscle,Declasse,"Has Liveries, Has Variants, Has Trade Price, Mystery Prize",Arena War,"$331,835 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$199,101	
	($377,671 when fully upgraded)",Can be used in Races,93.83 mph (151.00 km/h),Chevrolet Impala,2,"1,550	KG",RWD,4,11-Dec-18,1.46 Arena War,115.50 mph (185.88 km/h),01:08.3,No,1,1,2,1,1,"Speed
81.02","Acceleration
77.50","Braking
20.00","Handling
71.21","Overall
62.43",https://www.gtabase.com//grand-theft-auto-v/vehicles/impaler
103, LCC Avarus,Motorcycles,LCC,Has Liveries,Southern S.A. Super Autos,"$116,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$69,600	
	($241,180 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Generica mostly-naked chopper,1,"230	KG",RWD,5,4-Oct-16,1.36 Bikers,107.50 mph (173.00 km/h),01:07.2,No,1,1,2,1,1,"Speed
72.43","Acceleration
67.50","Braking
33.33","Handling
56.06","Overall
57.33",https://www.gtabase.com//grand-theft-auto-v/vehicles/lcc-avarus
104, Dundreary Virgo Classic Custom,Muscle,Dundreary,"Custom Vehicle, Has Liveries, Hydraulics",Benny's Original Motor Works,"$240,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$144,000	
	($552,513 when fully upgraded)",Can be used in Races,83.26 mph (134.00 km/h),1977-79 Lincoln Continental Mark V,2,"2,300	KG",RWD,5,15-Mar-16,1.33 Lowriders: Custom Classics,104.00 mph (167.37 km/h),01:15.4,No,1,1,2,1,1,"Speed
71.90","Acceleration
52.50","Braking
23.33","Handling
62.12","Overall
52.46",https://www.gtabase.com//grand-theft-auto-v/vehicles/dundreary-virgo-classic-custom
105, Nagasaki Street Blazer,Off-Road,Nagasaki,Mystery Prize,Southern S.A. Super Autos,"$81,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$48,600	
	($206,795 when fully upgraded)",Can be used in Races,77.67 mph (125.00 km/h),Spy Racing Quad,1,"550	KG",NA,6,4-Oct-16,1.36 Bikers,100.00 mph (160.93 km/h),01:06.4,No,1,1,2,1,1,"Speed
67.07","Acceleration
62.50","Braking
33.33","Handling
81.82","Overall
61.18",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-street-blazer
106, Vulcar Warrener,Sedans,Vulcar,"Has Variants, JDM Car",Southern S.A. Super Autos,"$120,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$72,000	
	($230,675 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Nissan Skyline GTR KGC10, Datsun 510, Toyota Corolla KE70",4,"1,300	KG",RWD,5,17-Jun-14,1.14 I'm Not a Hipster,103.25 mph (166.16 km/h),01:13.6,No,1,1,2,1,1,"Speed
75.12","Acceleration
61.25","Braking
31.67","Handling
65.45","Overall
58.37",https://www.gtabase.com//grand-theft-auto-v/vehicles/vulcar-warrener
107, Buckingham Nimbus,Planes,Buckingham,"Armored Vehicle, Bulletproof - Rear, No Passive Mode",Elitás Travel,"$1,900,000 ",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Can be used in Races,203.93 mph (328.20 km/h),Cessna Citation X,8,"6,500	KG",NA,NA,7-Jun-16,1.34 Further Adventures in Finance and Felony,165.00 mph (265.54 km/h),00:47.0,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
71.50","Acceleration
45.50","Braking
36.00","Handling
58.00","Overall
52.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-nimbus
108, Übermacht Sentinel XS,Coupes,Übermacht,"Has Liveries, HSW Performance Upgrade",Can be stolen / found,"$60,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$36,000	
	($943,115 when fully upgraded)",Can be used in Races,88.23 mph (142.00 km/h),BMW M3 E92,2,"1,400	KG",RWD,6,17-Sep-13,1.01 Game Launch,117.25 mph (188.70 km/h),01:10.1,No,1,1,2,1,1,"Speed
76.19","Acceleration
52.50","Braking
30.00","Handling
74.24","Overall
58.23",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-sentinel-xs
109, Declasse Scramjet,Super,Declasse,"Has Liveries, Has Trade Price, Homing Missiles, Jump Ability, No Passive Mode, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$3,480,000 ",Garage (Personal Vehicle),Mechanic,MOC / Avenger Workshop,Can be sold only if purchased (High-End),"$2,088,000	
	($2,228,825 when fully upgraded)",Special Vehicle Races,99.42 mph (160.00 km/h),"1960s Anime series Speed Racer, Mach 5, Alfa Romeo 33/2 Coupé Speciale",2,"1,600	KG",RWD,6,21-Aug-18,1.44 After Hours,137.00 mph (220.48 km/h),00:57.9,No,1,1,2,1,1,"Speed
85.85","Acceleration
100.00","Braking
31.67","Handling
81.82","Overall
74.83",https://www.gtabase.com//grand-theft-auto-v/vehicles/scramjet
110, Bravado Gauntlet Hellfire,Muscle,Bravado,Has Liveries,Southern S.A. Super Autos,"$745,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$447,000	
	($635,045 when fully upgraded)",Can be used in Races,96.31 mph (155.00 km/h),"2018 Dodge Challenger Demon, 5th Gen Chevrolet Camaro, 6th Gen Ford Mustang",2,"1,940	KG",RWD,5,5-Sep-19,1.48 Diamond Casino & Resort,125.25 mph (201.57 km/h),01:09.9,No,1,1,2,1,1,"Speed
83.17","Acceleration
90.00","Braking
30.00","Handling
71.21","Overall
68.59",https://www.gtabase.com//grand-theft-auto-v/vehicles/gauntlet-hellfire
111, Übermacht Sentinel Classic Widebody,Sports,Übermacht,"Custom Vehicle, Has Liveries",Benny's Original Motor Works,"$700,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$420,000	
	($735,209 when fully upgraded)",Can be used in Races,91.22 mph (146.80 km/h),BMW E30 M3,2,"1,040	KG",RWD,5,22-Nov-22,1.61 Criminal Enterprises,127.25 mph (204.79 km/h),01:03.8,No,1,1,2,1,1,"Speed
78.77","Acceleration
73.75","Braking
29.33","Handling
100.00","Overall
70.46",https://www.gtabase.com//grand-theft-auto-v/vehicles/sentinel-classic-widebody
112, Declasse Drift Yosemite,Muscle,Declasse,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$1,308,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$784,800	
	($966,875 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),Chevrolet C10,2,"1,200	KG",RWD,6,6-Feb-20,1.49 Diamond Casino Heist,108.25 mph (174.21 km/h),01:07.4,No,1,1,2,1,1,"Speed
75.12","Acceleration
98.75","Braking
28.33","Handling
79.55","Overall
70.44",https://www.gtabase.com//grand-theft-auto-v/vehicles/drift-yosemite
113, Lampadati Komoda,Sports,Lampadati,"Has Liveries, Has Trade Price",Legendary Motorsport,"$1,700,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,020,000	
	($1,223,038 when fully upgraded)",Can be used in Races,96.93 mph (156.00 km/h),Alfa Romeo Giulia Quadrifoglio,4,"1,575	KG",RWD,6,12-Dec-19,1.49 Diamond Casino Heist,123.00 mph (197.95 km/h),01:04.3,No,1,1,2,1,1,"Speed
83.70","Acceleration
91.75","Braking
31.67","Handling
81.52","Overall
72.16",https://www.gtabase.com//grand-theft-auto-v/vehicles/komoda
114, Dewbauchee Champion,Super,Dewbauchee,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, Imani Tech, Proximity Mines, Remote Control Unit, Unique Radar Icon, Weaponized Vehicle",Legendary Motorsport,"$2,995,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,797,000	
	($2,472,745 when fully upgraded)",Can be used in Races,99.92 mph (160.80 km/h),Aston Martin Victor,2,"1,500	KG",RWD,6,15-Dec-21,1.58 The Contract,124.75 mph (200.77 km/h),01:04.7,Bullet resistant windows; Needs Armor Plating upgrade for maximum resistance to explosive,12,4,10,2,1,"Speed
86.28","Acceleration
89.75","Braking
38.33","Handling
77.76","Overall
73.03",https://www.gtabase.com//grand-theft-auto-v/vehicles/champion
115, Imponte Deluxo,Sports Classics,Imponte,"Float on Water, Flying Car / Bike, Has Trade Price, Homing Missiles, Hover Mode, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$4,721,500 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$2,832,900	
	($3,088,850 when fully upgraded)",Special Vehicle Races,86.99 mph (140.00 km/h),"DeLorean DMC-12 from the Back To The Future movie, with the ability to fly and gull-wing doors",2,"1,600	KG",RWD,4,12-Dec-17,1.42 The Doomsday Heist,127.25 mph (204.79 km/h),01:07.4,No,1,1,2,1,1,"Speed
75.12","Acceleration
56.88","Braking
23.33","Handling
62.12","Overall
54.36",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-deluxo
116, Chariot Romero Hearse,Sedans,Chariot,NA,Can be stolen / found,"$45,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$27,000	
	($89,350 when fully upgraded)",Can be used in Races,77.67 mph (125.00 km/h),Lincoln Town Car Hearse,2,"2,000	KG",RWD,5,17-Sep-13,1.01 Game Launch,89.50 mph (144.04 km/h),01:25.0,No,1,1,2,1,1,"Speed
67.07","Acceleration
37.50","Braking
16.67","Handling
59.09","Overall
45.08",https://www.gtabase.com//grand-theft-auto-v/vehicles/chariot-romero-hearse
117, Obey 9F,Sports,Obey,"Has Variants, Mystery Prize",Legendary Motorsport,"$120,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$72,000	
	($214,200 when fully upgraded)",Can be used in Races,96.31 mph (155.00 km/h),Audi R8,2,"1,300	KG",NA,6,17-Sep-13,1.01 Game Launch,119.75 mph (192.72 km/h),01:04.1,No,1,1,2,1,1,"Speed
83.17","Acceleration
82.50","Braking
33.33","Handling
77.27","Overall
69.07",https://www.gtabase.com//grand-theft-auto-v/vehicles/obey-9f
118, Dewbauchee JB 700W,Sports Classics,Dewbauchee,"No Passive Mode, Proximity Mines, Weaponized Vehicle",Warstock Cache & Carry,"$1,470,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$882,000	
	($1,131,250 when fully upgraded)",Cannot be used in Races,93.21 mph (150.00 km/h),Aston Martin DB5,2,"1,600	KG",RWD,5,26-Dec-19,1.49 Diamond Casino Heist,119.25 mph (191.91 km/h),01:12.1,No,1,1,2,1,1,"Speed
80.48","Acceleration
65.00","Braking
20.00","Handling
65.15","Overall
57.66",https://www.gtabase.com//grand-theft-auto-v/vehicles/jb-700w
119, Enus Paragon R,Sports,Enus,"Has Liveries, Has Variants",Legendary Motorsport,"$905,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$543,000	
	($730,395 when fully upgraded)",Can be used in Races,99.36 mph (159.90 km/h),2018 Bentley Continental GT,2,"2,415	KG",NA,8,23-Jul-19,1.48 Diamond Casino & Resort,123.25 mph (198.35 km/h),01:02.2,No,1,1,2,1,1,"Speed
85.79","Acceleration
82.25","Braking
33.33","Handling
81.06","Overall
70.61",https://www.gtabase.com//grand-theft-auto-v/vehicles/paragon-r
120, Benefactor Dubsta 2,SUVs,Benefactor,Has Variants,Can be stolen / found,"$70,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$45,000	
	($138,150 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),Mercedes-Benz G-Class,4,"2,400	KG",NA,5,17-Sep-13,1.01 Game Launch,102.00 mph (164.15 km/h),01:19.0,No,1,1,2,1,1,"Speed
75.12","Acceleration
50.00","Braking
26.67","Handling
65.15","Overall
54.23",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-dubsta-2
121, Pegassi Esskey,Motorcycles,Pegassi,"Has Liveries, Mystery Prize",Southern S.A. Super Autos,"$264,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$158,400	
	($323,870 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Ducati Scrambler,2,"190	KG",RWD,5,15-Nov-16,1.36 Bikers,112.75 mph (181.45 km/h),01:06.4,No,1,1,2,1,1,"Speed
77.80","Acceleration
73.75","Braking
40.00","Handling
65.15","Overall
64.18",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-esskey
122, Mammoth Patriot,Off-Road,Mammoth,"Has Liveries, Has Variants, Mystery Prize",Can be stolen / found,"$50,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$30,000	
	($140,050 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Hummer H2,4,"3,500	KG",NA,5,17-Sep-13,1.01 Game Launch,98.25 mph (158.12 km/h),01:23.5,No,1,1,2,1,1,"Speed
69.75","Acceleration
50.00","Braking
10.67","Handling
51.52","Overall
45.48",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-patriot
123, Declasse Vamos,Muscle,Declasse,Has Liveries,Southern S.A. Super Autos,"$596,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$357,600	
	($539,995 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Chevrolet Nova,2,"1,380	KG",RWD,4,14-Feb-19,1.46 Arena War,112.25 mph (180.65 km/h),01:09.9,No,1,1,2,1,1,"Speed
77.80","Acceleration
82.50","Braking
16.67","Handling
68.18","Overall
61.29",https://www.gtabase.com//grand-theft-auto-v/vehicles/vamos
124, Vapid Ellie,Muscle,Vapid,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$565,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$339,000	
	($493,750 when fully upgraded)",Can be used in Races,87.30 mph (140.50 km/h),"1967 Ford Mustang/Shelby GT500, Eleanor",2,"1,370	KG",RWD,5,27-Mar-18,1.43 Southern SA Super Sport Series,106.50 mph (171.39 km/h),01:13.2,No,1,1,2,1,1,"Speed
75.39","Acceleration
81.25","Braking
16.67","Handling
77.27","Overall
62.64",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-ellie
125, Pegassi Bati 801RR,Motorcycles,Pegassi,"Has Liveries, Has Variants, Mystery Prize",Southern S.A. Super Autos,"$15,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$9,000	
	($63,600 when fully upgraded)",Can be used in Races,93.21 mph (150.00 km/h),Ducati 1199,2,"230	KG",RWD,6,17-Sep-13,1.01 Game Launch,135.00 mph (217.26 km/h),00:58.6,No,1,1,2,1,1,"Speed
80.48","Acceleration
75.00","Braking
46.67","Handling
70.30","Overall
68.11",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-bati-801rr
126, Vapid Dominator ASP,Muscle,Vapid,"Has Liveries, Has Trade Price, Tuners Vehicle",Southern S.A. Super Autos,"$1,775,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,065,000	
	($1,415,623 when fully upgraded)",Can be used in Races,93.67 mph (150.75 km/h),Ford Mustang SVT Cobra R (New Edge),2,"1,665	KG",RWD,5,5-Aug-21,1.57 Los Santos Tuners,119.00 mph (191.51 km/h),01:05.7,No,1,1,2,1,1,"Speed
80.89","Acceleration
85.50","Braking
30.67","Handling
75.50","Overall
68.14",https://www.gtabase.com//grand-theft-auto-v/vehicles/dominator-asp
